Wave Data provided @ 10:50hrs on 27-06-2015
Site, SiteNumber, Seconds, DateTime, Latitude, Longitude, Hsig, Hmax, Tp, Tz, SST, Direction
Gold Coast,23,1434722400,2015-06-20T00:00:00,-27.9657300000,153.4423500000,0.7880000000000000,1.2400000000000000,9.0900000000000000,7.6920000000000000,21.6500000000000000,102.542483888509
Gold Coast,23,1434724200,2015-06-20T00:30:00,-27.9657100000,153.4423800000,0.8996000000000000,1.3900000000000000,9.0900000000000000,7.5470000000000000,21.6000000000000000,99.7424830899688
Gold Coast,23,1434726000,2015-06-20T01:00:00,-27.9656900000,153.4423300000,0.8176000000000000,1.4300000000000000,11.1100000000000000,7.6920000000000000,21.6000000000000000,106.742482291429
Gold Coast,23,1434727800,2015-06-20T01:30:00,-27.9657000000,153.4423100000,0.8692000000000000,1.2700000000000000,9.0900000000000000,7.5470000000000000,21.6000000000000000,102.542481492889
Gold Coast,23,1434729600,2015-06-20T02:00:00,-27.9656400000,153.4423500000,0.8131000000000000,1.5900000000000000,11.1100000000000000,7.1430000000000000,21.6000000000000000,113.842480694349
Gold Coast,23,1434731400,2015-06-20T02:30:00,-27.9656700000,153.4422500000,0.9548000000000000,1.7300000000000000,9.0900000000000000,7.0180000000000000,21.6000000000000000,95.5424798958096
Gold Coast,23,1434733200,2015-06-20T03:00:00,-27.9656700000,153.4422000000,0.9343000000000000,1.4600000000000000,9.0900000000000000,7.1430000000000000,21.5500000000000000,102.54247909727
Gold Coast,23,1434735000,2015-06-20T03:30:00,-27.9656700000,153.4421600000,1.0310000000000000,1.5100000000000000,9.0900000000000000,6.6670000000000000,21.6000000000000000,102.54247829873
Gold Coast,23,1434736800,2015-06-20T04:00:00,-27.9656600000,153.4421600000,1.0616000000000000,1.6900000000000000,10.0000000000000000,6.4520000000000000,21.5500000000000000,99.7424775001901
Gold Coast,23,1434738600,2015-06-20T04:30:00,-27.9656400000,153.4421600000,1.1496000000000000,1.9900000000000000,11.1100000000000000,6.2500000000000000,21.6000000000000000,112.44247670165
Gold Coast,23,1434740400,2015-06-20T05:00:00,-27.9656700000,153.4421000000,1.0556000000000000,1.9400000000000000,11.7600000000000000,6.0610000000000000,21.5500000000000000,113.842475903111
Gold Coast,23,1434742200,2015-06-20T05:30:00,-27.9656700000,153.4421000000,1.1766000000000000,1.8400000000000000,11.7600000000000000,5.8820000000000000,21.6000000000000000,112.442475104571
Gold Coast,23,1434744000,2015-06-20T06:00:00,-27.9656600000,153.4420500000,1.1700000000000000,1.8800000000000000,11.1100000000000000,6.1540000000000000,21.5500000000000000,115.242474306031
Gold Coast,23,1434745800,2015-06-20T06:30:00,-27.9657000000,153.4421800000,1.1187000000000000,2.0000000000000000,9.0900000000000000,6.2500000000000000,21.5500000000000000,108.142473507491
Gold Coast,23,1434747600,2015-06-20T07:00:00,-27.9656800000,153.4421000000,1.1176000000000000,1.7600000000000000,11.1100000000000000,6.0610000000000000,21.5500000000000000,116.642472708951
Gold Coast,23,1434749400,2015-06-20T07:30:00,-27.9656600000,153.4420500000,1.1746000000000000,1.8500000000000000,11.7600000000000000,6.3490000000000000,21.5500000000000000,118.042471910411
Gold Coast,23,1434751200,2015-06-20T08:00:00,-27.9656600000,153.4421000000,1.0511000000000000,1.8400000000000000,9.0900000000000000,6.3490000000000000,21.5000000000000000,108.142471111872
Gold Coast,23,1434753000,2015-06-20T08:30:00,-27.9656300000,153.4421000000,1.1662000000000000,1.9500000000000000,11.1100000000000000,5.7970000000000000,21.5000000000000000,119.442470313332
Gold Coast,23,1434754800,2015-06-20T09:00:00,-27.9656300000,153.4421000000,1.1940000000000000,1.9900000000000000,10.5300000000000000,5.7140000000000000,21.5500000000000000,118.042469514792
Gold Coast,23,1434756600,2015-06-20T09:30:00,-27.9656300000,153.4421000000,1.1754000000000000,2.3100000000000000,11.1100000000000000,5.4050000000000000,21.5500000000000000,109.542468716252
Gold Coast,23,1434758400,2015-06-20T10:00:00,-27.9656200000,153.4421000000,1.2068000000000000,2.0800000000000000,11.1100000000000000,5.1280000000000000,21.5500000000000000,119.442467917712
Gold Coast,23,1434760200,2015-06-20T10:30:00,-27.9656100000,153.4421000000,1.1731000000000000,2.1900000000000000,11.1100000000000000,5.1950000000000000,21.5500000000000000,112.442467119173
Gold Coast,23,1434762000,2015-06-20T11:00:00,-27.9656100000,153.4421200000,1.1718000000000000,2.1400000000000000,11.7600000000000000,5.1280000000000000,21.5000000000000000,113.842466320633
Gold Coast,23,1434763800,2015-06-20T11:30:00,-27.9656000000,153.4421200000,1.1902000000000000,2.0200000000000000,11.7600000000000000,5.1950000000000000,21.5500000000000000,115.242465522093
